ADDRESS  | TYPE        | SOURCE                 | BINARY                                | HEX
------------------------------------------------------------------------------------------------------------
00000000 | INSTRUCTION | add x1, x2, x3         | 0000 0000 0011 0001 0000 0000 1011 0011 | 0x003100B3
00000004 | INSTRUCTION | sub x4, x1, x5         | 0100 0000 0101 0000 1000 0010 0011 0011 | 0x40508233
00000008 | INSTRUCTION | addi x6, x0, 10        | 0000 0000 1010 0000 0000 0011 0001 0011 | 0x00A00313
0000000C | INSTRUCTION | lw x7, 0(x1)           | 0000 0000 0000 0000 1010 0011 1000 0011 | 0x0000A383
00000010 | INSTRUCTION | sw x7, 4(x1)           | 0000 0000 0111 0000 1010 0010 0010 0011 | 0x0070A223
00000014 | INSTRUCTION | beq x1, x2, end        | 0000 0000 0010 0000 1000 1000 0110 0011 | 0x00208863
00000018 | INSTRUCTION | bne x1, x3, start      | 1111 1110 0011 0000 1001 0100 1110 0011 | 0xFE3094E3
0000001C | DIRECTIVE   | .word  25               | 0000 0000 0000 0000 0000 0000 0001 1001 | 0x00000019
00000020 | DIRECTIVE   | .byte  7                | 0000 0111                           | 0x07
00000024 | INSTRUCTION | or x8, x1, x2          | 0000 0000 0010 0000 1110 0100 0011 0011 | 0x0020E433
